id;cohort;gender;country;duration;family_jur;jud_vars_rules;jud_vars_gender;jud_vars_ideology;jud_vars_public;jud_vars_courts;jud_vars_polits;jud_vars_litig;ideo_lr;ideo_eu;ideo_bel;cogn_stud;cogn_pig;cogn_stock;dec_tort_prop;dec_tort_art3;dec_rob_f;dec_rob_m;dec_rob_fx;dec_ref_2m;dec_ref_reas;dec_car_ford;dec_car_audi;dec_fin_contr;dec_fin_effet;ecj_power;eu_inst_com;eu_inst_ep;eu_inst_cons;eu_inst_ecj;eu_inst_ecb
R_qz4HDLIETiBgo37;fdd2020;M;Belgium;669;2;2;5;NA;NA;4;NA;3;5;10;7;29;20;7000;NA;1;NA;NA;36;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_248DxaIE62n1fCY;fdd2020;M;Belgium;814;2;1;7;6;4;3;2;5;5;7;7;29;100;10000;NA;2;NA;NA;72;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_31SfOLgkAgW90SW;fdd2020;F;Belgium;746;2;1;6;4;5;3;7;2;8;6;1;29;10;6000;NA;1;NA;36;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3gRXjv3zBDz4LhD;fdd2020;M;Belgium;757;2;1;7;6;4;2;5;3;7;10;2;29;0;7000;NA;1;NA;20;NA;NA;3;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_qUS6Nomp6T2poU9;fdd2020;M;Belgium;744;2;7;3;4;1;6;5;2;8;5;1;30;20;7000;1;NA;NA;12;NA;NA;3;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_8iu86yiPsyFv5Lz;fdd2020;F;Belgium;699;2;1;6;2;4;3;7;5;4;6;3;29;20;7000;1;NA;NA;72;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3nAvmfXqbPtb9Jn;fdd2020;F;Belgium;1320;2;1;6;4;5;3;7;2;5;8;2;15;20;7000;2;NA;NA;NA;72;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_OCe6JYB8TiPvar7;fdd2020;F;Belgium;1372;2;6;1;5;3;2;4;7;7;9;1;15;20;7000;2;NA;36;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3kNUnFEoNIqMSzy;fdd2020;M;Belgium;721;1;1;7;5;4;NA;6;2;5;3;NA;31;10;7000;2;NA;75;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_1IJVT0x8SqX71dv;fdd2020;M;Belgium;765;2;1;5;6;7;2;4;3;6;8;7;29;20;7000;1;NA;36;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2dRaikH9XjRNKck;fdd2020;F;Belgium;941;2;1;7;5;6;3;4;2;2;8;3;29;10;10000;NA;1;NA;NA;120;NA;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3suLQKAs6r43w7k;fdd2020;M;Belgium;805;2;1;6;5;2;3;7;4;7;0;2;30;10;7000;1;NA;24;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_3PRmcNyOe7HuH5i;fdd2020;M;Belgium;724;2;1;6;4;5;3;7;2;6;5;NA;29;20;10000;NA;1;24;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3njtEe2CnRr86ry;fdd2020;F;Belgium;799;2;1;5;6;4;3;7;2;6;7;1;31;10;68000;NA;2;NA;18;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_tFc6wuHBKRrM3EB;fdd2020;F;Belgium;670;1;1;7;6;5;3;4;2;7;5;1;15;0;7000;NA;2;NA;NA;48;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_2dunNayQEKMGumR;fdd2020;F;Belgium;808;2;1;7;6;4;2;5;3;4;6;3;30;20;0;NA;1;18;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2w0vOfK8oLaxM7h;fdd2020;F;Belgium;836;1;1;5;4;6;2;7;3;3;7;2;30;20;7000;1;NA;NA;12;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_rqeTxSlFEQ9UzgR;fdd2020;M;Belgium;714;2;1;7;4;5;3;6;2;5;8;NA;30;20;7000;2;NA;NA;NA;72;3;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_2E1bQOKHuZLlK3x;fdd2020;F;Belgium;842;2;NA;2;3;NA;5;4;7;2;9;NA;1;10;7000;NA;1;9;NA;NA;2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_tXV2qMFO84UWEaR;fdd2020;M;Belgium;680;2;NA;3;NA;5;1;4;2;8;7;1;15;10;3000;NA;1;NA;NA;34;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_1OAVWIJkRWhT6r7;fdd2020;F;Belgium;1086;2;1;6;5;7;3;4;2;7;6;1;29;20;7000;NA;1;NA;24;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_10Tyu88wUsrH4cp;fdd2020;F;Belgium;706;1;1;6;4;7;2;5;3;5;10;7;15;20;7000;NA;1;NA;18;NA;2;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_79z3Nz2qSNBeWdz;fdd2020;F;Belgium;748;2;1;7;6;5;2;4;3;6;5;1;30;10;7000;1;NA;NA;12;NA;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2ziGnKFiuJnOJyw;fdd2020;F;Belgium;823;1;1;NA;2;NA;3;NA;4;6;7;1;1;20;6000;NA;2;NA;36;NA;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2uqvYwk3nRp6wuk;fdd2020;M;Belgium;823;2;2;7;6;1;3;4;5;2;9;8;29;10;7000;1;NA;48;NA;NA;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_3ko0fOBAcvdj7gt;fdd2020;M;Belgium;882;2;7;2;4;3;5;1;6;7;6;1;30;20;NA;1;NA;24;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_PTXemewMY7zreEh;fdd2020;M;Belgium;836;2;1;7;5;6;2;4;3;7;5;1;29;10;7000;2;NA;NA;NA;96;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2fJoEG5l5HjBjma;fdd2020;M;Belgium;820;2;1;NA;3;5;NA;4;2;3;10;8;16;0;6500;1;NA;NA;NA;36;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2YPOorOTArTUq3V;fdd2020;F;Belgium;791;2;1;4;5;2;3;6;7;7;8;1;15;10;3000;1;NA;NA;NA;48;3;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_24w8Ric4WeIDSwO;fdd2020;F;Belgium;842;2;1;NA;4;3;NA;6;NA;5;7;2;15;0;7000;1;NA;24;NA;NA;2;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
